year_collaboration,main_field_id,country_region,n_pub_region,co_country_region,n_pub,prop_coll
2017,5,LAC,13904,Domestic,6702,0.482019563
2017,All,LAC,130307,Domestic,68886,0.528643895
2016,1,LAC,16067,Domestic,5957,0.370759943
2016,2,LAC,56674,Domestic,32053,0.565567985
2016,3,LAC,31529,Domestic,16231,0.514795902
2016,4,LAC,20391,Domestic,12152,0.595949193
2016,5,LAC,12803,Domestic,6137,0.47934078
2016,All,LAC,121411,Domestic,64008,0.527200995
2015,1,LAC,14189,Domestic,5321,0.37500881
2015,2,LAC,54318,Domestic,32204,0.592878972
2015,3,LAC,29293,Domestic,15671,0.534974226
2015,4,LAC,17267,Domestic,10506,0.608443852
2015,5,LAC,12313,Domestic,6073,0.49321855
2015,All,LAC,112857,Domestic,61766,0.547294364
2014,1,LAC,12330,Domestic,4461,0.361800487
2014,2,LAC,50191,Domestic,29862,0.594967225
2014,3,LAC,27093,Domestic,14446,0.533200458
2014,4,LAC,15967,Domestic,9851,0.61695998
2014,5,LAC,11111,Domestic,5514,0.496264963
2014,All,LAC,103794,Domestic,57037,0.549521167
2013,1,LAC,10525,Domestic,3828,0.363705463
2013,2,LAC,45339,Domestic,26509,0.584684267
2013,3,LAC,24856,Domestic,13376,0.538139685
2013,4,LAC,14703,Domestic,8984,0.611031762
2013,5,LAC,10008,Domestic,5007,0.50029976
2013,All,LAC,93798,Domestic,51302,0.546941299
2012,1,LAC,9431,Domestic,3372,0.357544269
2012,2,LAC,41876,Domestic,24241,0.578875728
2012,3,LAC,23407,Domestic,12574,0.53718973
2012,4,LAC,13520,Domestic,8525,0.630547337
2012,5,LAC,8832,Domestic,4398,0.497961957
2012,All,LAC,86886,Domestic,47500,0.546693368
2011,1,LAC,7842,Domestic,2580,0.328997705
2011,2,LAC,39552,Domestic,22772,0.575748382
2011,3,LAC,21056,Domestic,11325,0.537851444
2011,4,LAC,12633,Domestic,7866,0.622654951
2011,5,LAC,7874,Domestic,3809,0.483743967
2011,All,LAC,79858,Domestic,43493,0.544629217
2010,1,LAC,7391,Domestic,2460,0.332837234
2010,2,LAC,35708,Domestic,20679,0.579113924
2010,3,LAC,19828,Domestic,10953,0.552400646
2010,4,LAC,11785,Domestic,7484,0.635044548
2010,5,LAC,7351,Domestic,3628,0.493538294
2010,All,LAC,73407,Domestic,40337,0.549498004
2009,1,LAC,5986,Domestic,2002,0.334447043
2009,2,LAC,32551,Domestic,18736,0.575589076
2009,3,LAC,19158,Domestic,10230,0.533980583
2009,4,LAC,10779,Domestic,6706,0.622135634
2009,5,LAC,7390,Domestic,3685,0.49864682
2009,All,LAC,68111,Domestic,37181,0.545888329
2008,1,LAC,5533,Domestic,1754,0.317007049
2008,2,LAC,29880,Domestic,17178,0.574899598
2008,3,LAC,17917,Domestic,9682,0.540380644
2008,4,LAC,9952,Domestic,6255,0.628516881
2008,5,LAC,6889,Domestic,3378,0.49034693
2008,All,LAC,63032,Domestic,34331,0.544659855
2007,1,LAC,4336,Domestic,1336,0.308118081
2007,2,LAC,27418,Domestic,15956,0.581953461
2007,3,LAC,16785,Domestic,9110,0.5427465
2007,4,LAC,8973,Domestic,5575,0.62130837
2007,5,LAC,5889,Domestic,2846,0.4832739
2007,All,LAC,57051,Domestic,31350,0.549508335
2006,1,LAC,3566,Domestic,1014,0.284352215
2006,2,LAC,24726,Domestic,14276,0.577367953
2006,3,LAC,15326,Domestic,8310,0.542215842
2006,4,LAC,7931,Domestic,4885,0.615937461
2006,5,LAC,5362,Domestic,2690,0.501678478
2006,All,LAC,51329,Domestic,28155,0.54852033
2005,1,LAC,2991,Domestic,831,0.277833501
2005,2,LAC,21061,Domestic,12007,0.570105883
2005,3,LAC,14485,Domestic,7964,0.549810148
2005,4,LAC,6911,Domestic,4166,0.602807119
2005,5,LAC,4595,Domestic,2191,0.476822633
2005,All,LAC,45282,Domestic,24633,0.54399099
2004,1,LAC,2446,Domestic,700,0.286181521
2004,2,LAC,19056,Domestic,10899,0.571945844
2004,3,LAC,12967,Domestic,6781,0.522942855
2004,4,LAC,5918,Domestic,3629,0.613213924
2004,5,LAC,4201,Domestic,1972,0.469412045
2004,All,LAC,40481,Domestic,21828,0.539215928
2003,1,LAC,2260,Domestic,598,0.26460177
2003,2,LAC,16732,Domestic,9242,0.552354769
2003,3,LAC,11565,Domestic,5999,0.518720277
2003,4,LAC,5363,Domestic,3180,0.592951706
