id,label,cluster
163,BR,3
67,MX,3
61,NG,7
149,CO,3
179,AR,3
3,ZA,7
152,CL,3
136,EC,3
123,GH,7
53,PE,3
99,KE,7
1,ZW,7
131,ET,7
12,UG,7
36,SD,7
65,MZ,7
30,SN,7
125,GD,3
151,CM,7
7,VE,3
148,CR,3
11,US,5
126,GB,2
158,CA,5
46,PT,2
142,DE,2
128,FR,2
132,ES,2
177,AU,1
59,NL,2
103,IT,2
172,BE,2
154,CH,2
35,SE,2
140,DK,2
66,MY,1
150,CN,1
110,IE,2
178,AT,2
38,SA,4
58,NO,2
107,IN,6
13,UA,2
143,CZ,2
130,FI,2
100,JP,1
10,UY,3
56,NZ,1
