from_id,to_id,n_scholars
163,11,7368
67,11,1963
163,126,1768
163,128,1533
163,158,1516
163,142,1311
163,46,1211
163,132,1083
179,11,929
3,11,887
152,11,842
149,11,812
67,132,802
163,177,730
163,103,597
3,126,556
61,3,550
163,59,533
61,11,491
179,132,434
149,132,407
67,158,399
152,132,388
67,128,381
67,126,378
163,172,378
61,126,372
67,142,343
53,11,338
163,149,324
99,11,321
163,154,305
179,128,298
152,126,290
179,142,281
149,163,280
152,142,278
179,163,276
3,177,266
163,35,262
12,11,253
3,61,246
163,179,233
163,140,230
152,128,230
1,3,216
163,152,212
3,142,203
163,100,187
3,59,185
99,126,178
3,158,174
61,66,168
163,53,167
67,149,165
123,11,162
149,67,161
7,11,160
131,11,159
30,128,155
152,158,154
179,158,152
67,163,152
149,142,150
179,152,148
163,67,146
149,128,143
3,1,143
179,103,141
3,99,137
136,132,134
3,154,133
163,178,130
179,126,127
152,163,126
61,150,125
147,132,123
152,177,121
123,3,120
163,110,117
149,126,116
12,126,116
99,3,112
149,158,112
67,59,110
3,172,110
67,103,109
125,11,109
163,130,109
163,150,108
7,132,107
14,11,107
61,142,105
151,128,105
147,163,104
123,126,103
61,107,102
53,163,102
67,177,101
10,11,101
36,38,100
3,128,97
68,126,97
136,11,97
131,177,96
149,152,95
3,35,94
147,67,92
152,149,90
163,10,89
163,58,88
148,11,88
179,149,87
67,152,85
152,179,83
3,107,82
163,56,81
179,67,80
149,179,80
7,149,80
131,142,78
131,172,77
61,158,77
67,179,75
7,136,75
123,177,74
149,177,73
153,128,73
14,126,72
68,11,71
99,142,71
131,58,70
53,132,69
151,11,68
163,136,67
179,154,67
179,177,66
123,150,66
67,100,66
39,11,66
123,142,65
163,49,65
152,103,65
161,3,64
171,128,64
151,3,64
147,11,64
3,150,64
3,64,64
12,3,63
167,128,63
152,59,63
152,67,62
2,11,62
163,143,61
179,10,60
149,103,60
149,59,59
179,172,59
163,3,59
10,163,59
67,35,59
53,126,59
61,123,59
10,132,57
3,161,57
3,123,57
163,109,57
3,12,56
67,172,56
75,11,56
163,107,54
151,142,53
99,59,53
67,154,53
14,154,53
30,11,52
163,40,52
147,158,51
131,59,51
122,126,51
3,14,51
54,11,51
7,152,50
147,142,50
