id,label,cluster
163,BR,3
67,MX,3
179,AR,3
3,ZA,7
152,CL,3
149,CO,3
7,VE,3
61,NG,7
53,PE,3
99,KE,7
30,SN,7
147,CU,3
12,UG,7
1,ZW,7
10,UY,3
151,CM,7
148,CR,3
153,CI,7
11,US,5
128,FR,2
126,GB,2
142,DE,2
158,CA,5
132,ES,2
46,PT,2
103,IT,2
177,AU,1
59,NL,2
154,CH,2
100,JP,1
172,BE,2
35,SE,2
56,NZ,1
